id,name,birth,death,checkpoint,categories,extrainfo
786,"Walala, Camille",1975,,DreamShaper 3.2,"Illustration, Painting, Visual Arts, Pattern, France",
787,"Walde, Alfons",1891,1958,DreamShaper 3.2,"Painting, Oil, Landscape, Austria",
788,"Wallis, Alfred",1855,1942,Deliberate 2.0,"Painting, Landscape, UK",
789,"Ward, Lynd",1905,1985,DreamShaper 3.2,"Author, Illustration, Children's Book, Graphic Novel, Woodcut, Engraving, USA",
790,"Warhol, Andy",1928,1987,Deliberate 2.0,"Painting, Pop-Art, USA",
791,"Waterhouse, John William",1849,1917,DreamShaper 3.2,"Painting, Oil, Portrait, UK, 19th Century",
792,"Watteau, Jean-Antoine",1684,1721,Deliberate 2.0,"Painting, Oil, Portrait, Rococo, France, 18th Century",
793,"Webb, Joe",1976,,Deliberate 2.0,"Collage, Print, UK",
794,"Weeks, Edwin Lord",1849,1903,DreamShaper 3.2,"Illustration, Painting, Orientalism, USA",
795,"Weissenbruch, Johan Hendrik",1824,1903,Deliberate 2.0,"Painting, Oil, Watercolor, Landscape, Netherlands, 19th Century",
796,"Weldon, Casey",1979,,DreamShaper 3.2,"Painting, Acrylic, Surrealism, USA",
797,"Whalen, Tom (Strongstuff)",,,DreamShaper 3.2,"Illustration, USA",
798,"Whelan, Michael",1950,,DreamShaper 3.2,"Illustration, Fantasy, Sci-Fi, USA",512px + Highres. Fix
799,"Whitcomb, Jon",1906,1988,Deliberate 2.0,"Illustration, Painting, Oil, Gouache, Poster, USA",
800,"Whitmore, Coby",1913,1988,Deliberate 2.0,"Illustration, Painting, Cover Art, USA",
801,"Wileman, Peter",1946,,Deliberate 2.0,"Painting, Oil, Landscape, Abstract, UK",
802,"Wiley, Kehinde",1977,,DreamShaper 3.2,"Painting, Oil, Portrait, USA",
803,"Wilkins, Edward Blair",,,Deliberate 2.0,"Illustration, Painting, Sci-Fi, Cover Art",
804,"Williamson, Al",1931,2010,Deliberate 2.0,"Comic, USA",
805,"Windsor-Smith, Barry",1949,,Deliberate 2.0,"Comic, DC Comics, Marvel, B&W, UK",
806,"Winterhalter, Franz Xaver",1805,1873,Deliberate 2.0,"Painting, Oil, Portrait, Germany, 19th Century",
807,"Wirth, Nathan",,,DreamShaper 3.2,"Photography, Landscape, B&W, USA",
808,Wlop,,,Deliberate 2.0,"Illustration, China",
809,"Woelfel, Brandon",1994,,Deliberate 2.0,"Photography, Portrait, USA",
810,"Wong, Liam",,,DreamShaper 3.2,"Photography, Game Art, Scotland, UK",
811,"Wood, Ashley",1971,,Deliberate 2.0,"Illustration, Comic, Painting, Ink, Australia",
812,"Wood, Grant",1891,1942,Deliberate 2.0,"Painting, Oil, Tempera, Portrait, USA",
813,"Wou-Ki, Zao",1921,2013,Deliberate 2.0,"Painting, Ink, Aquatint, China",
814,"Wrightson, Bernie",1948,2017,DreamShaper 3.2,"Comic, DC Comics, Marvel, B&W, USA",
815,"Wyeth, Andrew",1917,2009,Deliberate 2.0,"Painting, Oil, Watercolor, Gouache, Portrait, Landscape, Realism, USA",
816,"Xu, Zhelong",,,DreamShaper 3.2,"Illustration, 3D, China",
817,"Yata, Hannah",1989,,Deliberate 2.0,"Painting, Oil, Psychedelic Art, Surrealism, USA",
818,"Ye, Liu",1964,,DreamShaper 3.2,"Painting, China",
819,"Yeager, Bunny",1929,2014,Deliberate 2.0,"Photography, Portrait, Pin-Ups, USA","lots of boobs and nudity, even with the keywords in the NP"
820,"Yerka, Jacek",1952,,Deliberate 2.0,"Illustration, Painting, Surrealism, Poland",
821,"Yokoo, Tadanori",1936,,Deliberate 2.0,"Illustration, Graphic Design, Poster, Japan",
822,"Yoro, Sean (HULA)",1989,,Deliberate 2.0,"Painting, Street Art, Portrait, USA",
823,"Yoshida, Akihiko",1967,,Deliberate 2.0,"Illustration, Character Design, Game Art, Japan",
824,"Yoshida, Hiroshi",1876,1950,DreamShaper 3.2,"Painting, Landscape, Japan",
825,"Young, Skottie",1978,,Deliberate 2.0,"Illustration, Comic, Children's Book, Marvel, USA",
826,"Zabrocki, Darek",,,DreamShaper 3.2,"Illustration, Concept Art, Fantasy, Sci-Fi, Poland",
827,"Zadkine, Ossip",1888,1967,Deliberate 2.0,"Painting, Oil, Cubism, Belarus",
828,"Zana, Eytan",,,Deliberate 2.0,"Illustration, Concept Art, Game Art, USA",
829,"Zener, Eric",1966,,DreamShaper 3.2,"Painting, Oil, Portrait, Realism, USA","not easy to prompt, needed 'sunglasses' and 't-shirt' in NP"
830,"Zhong, Fenghua",,,DreamShaper 3.2,"Illustration, China",
831,"Zorach, William",1887,1966,DreamShaper 3.2,"Painting, Oil, Watercolor, Portrait, Sculpture, Cubism, Lithuania, USA",
832,"Zorn, Anders",1860,1920,Deliberate 2.0,"Painting, Watercolor, Portrait, Sweden, 19th Century",
833,"Zuloaga, Ignacio",1870,1945,Deliberate 2.0,"Painting, Oil, Portrait, Spain",
